latitude, longitude, elevation_m, observation_time, station_id, temperature_c, wind_speed_ms, wind_direction, wind_gust, precipitation, source
10.549,-5.3986,,,Baguéra,,,,,,
11.772645,-1.841748,,,Bakata,,,,,,
13.33,-1.5,,,Bam (Tourcoing),,,,,,
11.38,-4.39,,,Bama,,,,,,
10.636,-4.761,,,Banfora,,,,,,
13.7219,-0.1699,,,Bani,,,,,,
12.4375,-1.9452,,,Bantogdo,,,,,,
14.2058,-1.8505,,,Baraboulé,,,,,,
13.4181,-1.0555,,,Barsalogho,,,,,,
13.42,-1.07,,,Barsalogho,,,,,,
12.8742,0.7899,,,Bartiébougou,,,,,,
13.2511,-1.2576,,,Basnere,,,,,,
12.391206,-1.634736,,,Bassinko,,,,,,
9.88,-2.92,,,Batié,,,,,,
11.82344,-1.14707,,,Bere,,,,,,
11.2543,-1.8189,,,Bieha,,,,,,
12.5437,0.0323,,,Bilanga,,,,,,
12.2987,-1.8304,,,Bingo,,,,,,
12.8649,0.054,,,Bissiga,,,,,,
11.2592,-0.3035,,,Bitou,,,,,,
12.8706,-0.7034,,,Boala,,,,,,
12.9959,-3.9487,,,Bomboroky,,,,,,
11.8684,-3.7503,,,Bondokuy,,,,,,
12.67,2.05,,,Botou,,,,,,
12.205386,-0.731627,,,Boudry,,,,,,
11.808587,-1.994847,,,Bougnounou,,,,,,
12.3018,-1.5422,,,Boulbi,,,,,,
12.6638,-0.568,,,Boulsa,,,,,,
12.65,-0.57,,,Boulsa,,,,,,
11.05,-2.5,,,Boura,,,,,,
11.0396,-2.5021,,,Boura,,,,,,
13.6186,-0.6467,,,Bouroum,,,,,,
13.6863,-1.5515,,,Bourzanga,,,,,,
12.9049,-1.0787,,,Boussouma,,,,,,
12.6671,-1.8951,,,Boussé,,,,,,
10.3364,-3.0161,,,Bousséra,,,,,,
11.62,-3.68,,,Béréba,,,,,,
10.7699,-4.748,,,Bérégadougou,,,,,,
11.4333,-1.3667,,,Bétaré,,,,,,
11.571453,-2.04656,,,Cassou,,,,,,
12.47,-3.48,,,DEDOUGOU,,,,,,
12.4666666667,-3.4833333333,,,DEDOUGOU,,,,,,
14.03,-0.03,,,DORI,,,,,,
13.7501,-1.1618,,,Dablo,,,,,,
13.28,-0.23,,,Dakiri,,,,,,
11.1429,-3.0597,,,Dano,,,,,,
12.6711,-1.5401,,,Dapélogogo,,,,,,
12.7231,-0.2778,,,Dargo,,,,,,
12.457294,-2.688497,,,Dassa,,,,,,
12.02,0.03,,,Diabo,,,,,,
11.97,-0.38,,,Dialgaye,,,,,,
12.0717,1.7889,,,Diapaga,,,,,,
12.5611,-2.6291,,,Didyr,,,,,,
11.77,-4.82,,,Dionkele Ndorola,,,,,,
10.9432,-2.9189,,,Dissin,,,,,,
13.1641,-3.4054,,,Dissourou,,,,,,
10.96,-3.25,,,Diébougou,,,,,,
13.1205,-4.1554,,,Djibasso,,,,,,
14.0998,-1.6277,,,Djibo,,,,,,
14.0254,-0.0625,,,Dori,,,,,,
11.980103,-1.464249,,,Doulougou,,,,,,
12.9183,-4.17,,,Doumbala,,,,,,
12.066667,0.35,,,FADA N'GOURMA,,,,,,
12.0666666667,0.35,,,FADA N'GOURMA,,,,,,
14.3603,0.1921,,,Falagountou,,,,,,
11.52,-2.77,,,Fara,,,,,,
11.0944,-4.3321,,,Farakoba,,,,,,
12.7329,1.0723,,,Foutouri,,,,,,
10.3333333333,-3.1833333333,,,GAOUA,,,,,,
10.33,-3.18,,,GAOUA,,,,,,
11.6571,-2.1797,,,Gao,,,,,,
12.00433,-1.169026,,,Gaongo,,,,,,
11.8,0.5408,,,Garango,,,,,,
12.8255,-3.2002,,,Gassan,,,,,,
12.65,0.49,,,Gayéri,,,,,,
12.6244,-0.8348,,,Giga Kaya,,,,,,
12.6969,-2.6295,,,Godyr,,,,,,
11.552122,-0.956577,,,Gogo,,,,,,
13.4833,-2.7823,,,Gomboro,,,,,,
11.43,-0.77,,,Gombousgou,,,,,,
14.0328,-0.5187,,,Gorgadji,,,,,,
12.7413,0.0016,,,Gori,,,,,,
14.4453,-0.2338,,,Gorom-Gorom,,,,,,
13.2044,-2.3555,,,Gourcy,,,,,,
11.3558,-1.3708,,,Guiaro,,,,,,
11.720206,-1.147901,,,Guiba,,,,,,
13.0906,-1.6048,,,Guibare,,,,,,
12.6142,-1.3022,,,Guilongou,,,,,,
11.4937,-3.5173,,,Houndé,,,,,,
12.44,-2.34,,,Imansgho,,,,,,
10.7573,-3.4006,,,Iolonoro,,,,,,
11.9572,-1.5469,,,Ipelce,,,,,,
11.718709,-0.962325,,,Kaibo,,,,,,
12.46,-1.55,,,Kamboincé,,,,,,
10.1436,-3.4557,,,Kampti,,,,,,
12.48,1.53,,,Kantchari,,,,,,
10.8748,-3.941,,,Karagasso -Vigué,,,,,,
11.2257,-4.6514,,,Karangasso Sambla,,,,,,
12.2964,-3.5562,,,Kari,,,,,,
12.31768,-1.462607,,,Karpala,,,,,,
11.5811,-2.0469,,,Kassou,,,,,,
13.0743,-3.3032,,,Kassoum,,,,,,
13.0967,-1.0875,,,Kaya,,,,,,
12.936006,-0.23904,,,Kelbo,,,,,,
13.24,-2.72,,,Kiembara,,,,,,
12.4377,-2.0357,,,Kindi,,,,,,
13.0383,-1.9428,,,Kirsi,,,,,,
12.654363,-0.672847,,,Kogho,,,,,,
12.18,-1.88,,,Kokologo,,,,,,
12.0743,-1.3421,,,Kombissiri,,,,,,
11.7133,0.1422,,,Komin-Yanga,,,,,,
12.189481,-1.797399,,,Komki-Ipala,,,,,,
11.0846,0.7763,,,Kompienga,,,,,,
12.186285,-1.629548,,,Komsilga,,,,,,
13.3255,-1.5287,,,Kongoussi,,,,,,
12.597076,-2.364345,,,Kordie,,,,,,
12.83,-1.07,,,Korsimoro,,,,,,
12.93,-0.235,,,Kossodougou,,,,,,
12.6286,-0.5232,,,Koubouré,,,,,,
12.1865,-1.4004,,,Koubri,,,,,,
12.2514,-2.4005,,,Koudougou,,,,,,
12.782056,-3.128639,,,Kougny,,,,,,
11.9027,-4.3426,,,Kouka,,,,,,
11.2327,-3.6942,,,Koumbia,,,,,,
11.7184,-4.5121,,,Koundougou,,,,,,
12.179,-0.3399,,,Koupéla,,,,,,
11.6162,-4.7994,,,Kourouma,,,,,,
14.5019,-1.0153,,,Koutougou,,,,,,
12.9039,-2.4563,,,La-Toden,,,,,,
